DateTime,AddedIPs,RemovedIPs
1518505297,0,1
1518534093,1,0
1518552130,0,1
1518602498,1,0
1518627712,0,1
1518724899,1,0
1518739293,0,1
1518825686,2,0
1518840088,0,2
1518843700,1,0
1518868893,0,1
1518879697,2,0
1518897753,0,2
1518908493,1,0
1518922886,0,1
1519045295,1,0
1519059685,0,1
1519074101,2,0
1519088496,1,2
1519102896,0,1
1519160487,2,0
1519171290,1,0
1519174896,0,2
1519185686,0,1
1519261287,1,0
1519275697,0,1
1519344088,1,0
1519358493,0,1
1519376493,1,0
1519390882,0,1
1519430486,2,0
1519444882,1,2
1519459294,0,1
1519470090,1,0
1519484494,0,1
1519552887,1,0
1519567298,0,1
1519570883,1,0
1519592503,0,1
1519624887,1,0
1519639294,0,1
1519678893,1,0
1519693306,0,1
1519700491,1,0
1519714902,0,1
1519765302,2,0
1519772490,1,0
1519779694,0,2
1519786899,1,1
1519790503,2,0
1519801303,0,1
1519804895,0,2
1519812089,1,0
1519826501,0,1
1519848092,1,0
1519862505,0,1
1519891301,1,0
1519923694,1,0
1519934508,0,1
1519938103,0,1
1519945292,1,0
1519952498,1,0
1519959686,0,1
1519963285,1,0
1519966900,0,1
1519977685,0,1
1519984897,1,0
1519999295,0,1
1520002896,1,0
1520049693,0,1
1520074881,1,0
1520110889,0,1
1520114492,1,0
1520136088,1,0
1520150487,0,2
1520164897,1,0
1520168494,2,0
1520182885,0,2
1520204496,0,1
1520229698,1,0
1520247697,0,1
1520298088,1,0
1520323300,0,1
1520341283,1,0
1520362893,0,1
1520388086,1,0
1520402488,0,1
1520413286,1,0
1520427686,0,1
1520434887,1,0
1520449287,0,1
1520456485,1,0
1520460094,1,0
1520470882,0,1
1520485291,0,1
1520510499,2,0
1520517683,1,0
1520524885,0,2
1520532085,0,1
1520589693,1,0
1520611282,1,0
1520625682,0,1
1520632890,0,1
1520647280,1,0
1520661693,0,1
1520668894,1,0
1520701281,0,1
1520719282,1,0
1520726483,2,0
1520733685,0,1
1520740886,0,2
1520744499,2,0
1520758900,0,2
1520784088,1,0
1520809287,0,1
1520884898,1,0
1520899291,1,0
1520913688,0,2
1520971287,2,0
1520985693,0,2
1521003690,1,0
1521043291,0,1
1521046896,1,0
1521057690,1,0
1521061301,0,1
1521072101,0,1
1521075690,2,0
1521090087,0,2
1521100900,1,0
1521115296,0,1
1521126096,1,0
1521140488,0,1
1521187290,1,0
1521201684,0,1
1521234092,1,0
1521237682,1,0
1521248490,0,1
1521295284,0,1
1521338485,1,0
1521352890,0,1
1521360096,1,0
1521374497,0,1
1521385296,1,0
1521399696,0,1
1521439289,1,0
1521453687,0,1
1521471701,1,0
1521489696,1,0
1521493288,0,1
1521507697,1,1
1521532887,0,1
1521558093,1,0
1521586899,0,1
1521594087,1,0
1521608495,0,1
1521619285,1,0
1521640889,1,0
1521655301,0,1
1521669699,0,1
1521673303,1,0
1521702099,1,0
1521709287,0,1
1521716491,0,1
1521766891,1,0
1521802880,0,1
1521806485,1,0
1521824482,1,0
1521831694,1,1
1521838885,0,1
1521846081,0,1
1521900096,1,0
1521903697,2,0
1521914492,0,1
1521918082,1,2
1521932482,1,1
1521946899,0,1
1521968496,1,0
1521982888,0,1
1521990095,1,0
1522004486,0,1
1522015288,1,0
1522029686,1,0
1522040499,0,1
1522044097,0,1
1522051296,1,0
1522062099,1,0
1522065688,0,1
1522072888,1,0
1522076499,0,1
1522080088,1,0
1522087298,0,1
1522094504,0,1
1522108890,1,0
1522123286,0,1
1522141301,1,0
1522148498,1,0
1522155687,0,1
1522162897,0,1
1522180890,1,0
1522231296,0,1
1522238488,1,0
1522252891,1,1
1522263688,1,0
1522267301,0,1
1522278087,0,1
1522332097,1,0
1522342891,1,0
1522346493,0,1
1522357301,0,1
1522414886,1,0
1522429298,2,1
1522443701,0,2
1522454498,1,0
1522476097,1,0
1522479696,0,1
1522483296,1,0
1522490493,0,1
1522497691,0,1
1522512085,1,0
1522526485,0,1
1522544497,1,0
1522584086,0,1
1522594897,1,0
1522609284,0,1
1522612892,1,0
1522627291,0,1
1522634498,1,0
1522648885,0,1
1522677688,1,0
1522699297,0,1
1522713693,1,0
1522728084,0,1
1522731681,1,0
1522746086,0,1
1522778489,2,0
1522782093,2,0
1522792884,0,2
1522796495,0,2
1522821690,1,0
1522836099,0,1
1522864890,1,0
1522879291,0,1
1522940487,1,0
1522954895,0,1
1522965690,2,0
1522972893,1,0
1522980085,0,2
1522987305,0,1
